GEMINI

1.00000 0.00075
0.99908 0.00273
0.99605 0.00405
0.99168 0.00502
0.98664 0.00622
0.97874 0.00822
0.96932 0.01028
0.96083 0.01213
0.94912 0.01471
0.93709 0.01726
0.92481 0.01978
0.90932 0.02328
0.89417 0.02643
0.87998 0.02942
0.84901 0.03568
0.81705 0.04191
0.78888 0.04740
0.74459 0.05575
0.70218 0.06344
0.65948 0.07063
0.61604 0.07737
0.56044 0.08502
0.50545 0.09148
0.44769 0.09629
0.38932 0.09870
0.33216 0.09991
0.27457 0.09810
0.23045 0.09380
0.19098 0.08847
0.16333 0.08320
0.13497 0.07639
0.10705 0.06800
0.09455 0.06359
0.08178 0.05860
0.06854 0.05269
0.05628 0.04664
0.04304 0.03937
0.02848 0.03051
0.02029 0.02517
0.01347 0.02022
0.00665 0.01355
0.00347 0.00914
0.00138 0.00573
0.00224 -0.00749
0.00576 -0.01212
0.00958 -0.01550
0.01818 -0.02044
0.02489 -0.02351
0.03421 -0.02702
0.04612 -0.03060
0.06079 -0.03431
0.07669 -0.03771
0.09104 -0.04043
0.10322 -0.04255
0.12623 -0.04588
0.14307 -0.04789
0.17180 -0.05041
0.20230 -0.05225
0.24452 -0.05360
0.28864 -0.05443
0.34340 -0.05470
0.40117 -0.05347
0.45750 -0.05121
0.51287 -0.04801
0.57232 -0.04378
0.62644 -0.03936
0.66966 -0.03551
0.71376 -0.03145
0.75569 -0.02757
0.79793 -0.02342
0.82795 -0.02034
0.86258 -0.01677
0.89339 -0.01359
0.91038 -0.01176
0.92357 -0.01031
0.93966 -0.00865
0.95225 -0.00734
0.96343 -0.00624
0.97683 -0.00492
0.98975 -0.00378
0.99921 -0.00273
1.00000 0.00075

