NACA	63-006
1.00    0.00000
0.95    0.00138
0.9     0.00383
0.85    0.00683
0.8     0.01008
0.75    0.01342
0.7     0.01670
0.65    0.01982
0.6     0.02267
0.55    0.02517
0.5     0.02723
0.45    0.02877
0.4     0.02971
0.35    0.03000
0.3     0.02954
0.25    0.02841
0.2     0.02656
0.15    0.02386
0.1     0.02010
0.075   0.01766
0.05    0.01462
0.025   0.01057
0.0125  0.00771
0.0075  0.00609
0.005   0.00503
0.000   0.00000
0.005   -0.00503
0.0075  -0.00609
0.0125  -0.00771
0.025   -0.01057
0.05    -0.01462
0.075   -0.01766
0.1     -0.02010
0.15    -0.02386
0.2     -0.02656
0.25    -0.02841
0.3     -0.02954
0.35    -0.03000
0.4     -0.02971
0.45    -0.02877
0.5     -0.02723
0.55    -0.02517
0.6     -0.02267
0.65    -0.01982
0.7     -0.01670
0.75    -0.01342
0.8     -0.01008
0.85    -0.00683
0.9     -0.00383
0.95    -0.00138
1.00    -0.00000
